"","V1","V2"
"1","ALDOB","FBP1"
"2","ALDH2","ADH1A"
"3","ALDH2","ADH1B"
"4","ALDH2","ADH1C"
"5","ALDH2","ADH4"
"6","ALDH2","BBOX1"
"7","ALDH2","AOC1"
"8","ALDH2","AKR1B10"
"9","ALDH2","ACYP1"
"10","ALDH1B1","ADH1A"
"11","ALDH1B1","AOC1"
"12","ALDH1B1","ACYP1"
"13","SDHB","NFE2L2"
"14","SDHB","NRF1"
"15","SDHB","SUCLG2"
"16","SDHD","SUCLG2"
"17","TKT","EGR3"
"18","TKT","RPIA"
"19","TALDO1","ZNF143"
"20","UGP2","PGM1"
"21","UGP2","GALE"
"22","UGP2","UGDH"
"23","UGT2B15","ADH1A"
"24","UGT2B15","UGDH"
"25","UGT2B15","ESR1"
"26","ACADS","ECHS1"
"27","EHHADH","ACAT1"
"28","EHHADH","IVD"
"29","ECHS1","ACADM"
"30","ECHS1","IVD"
"31","ACAT1","AACS"
"32","ACAT1","HMGCS2"
"33","ADH1A","CYP26A1"
"34","ADH1A","GSTO2"
"35","ADH1A","GSTA5"
"36","ADH1A","GSTA1"
"37","ADH1A","GSTA2"
"38","ADH1A","GSTA3"
"39","ADH1A","GSTA4"
"40","ADH1A","GSTM1"
"41","ADH1A","GSTM2"
"42","ADH1A","GSTM3"
"43","ADH1A","GSTM4"
"44","ADH1A","GSTM5"
"45","ADH1A","GSTP1"
"46","ADH1A","GSTT1"
"47","ADH1A","GSTT2"
"48","ADH1A","MGST1"
"49","ADH1A","MGST2"
"50","ADH1A","MGST3"
"51","ADH1A","GSTT2B"
"52","ADH1A","GSTO1"
"53","CYP8B1","AKR1D1"
"54","ASS1","ADSS1"
"55","ASS1","ASL"
"56","ATIC","ATIC"
"57","PNP","NMRK1"
"58","PNP","XDH"
"59","PNP","NNMT"
"60","PAPSS2","PAPSS2"
"61","PDE7B","ADSL"
"62","PDE7A","ADSL"
"63","CYP1A2","NAT2"
"64","CYP1A2","CYP2C19"
"65","CYP1A2","CYP2J2"
"66","CYP1A2","CYP26A1"
"67","CYP1A2","GSTO2"
"68","NAT2","CYP2A6"
"69","NAT2","CYP2A7"
"70","CYP2A6","CYP2B6"
"71","CYP2A7","CYP26A1"
"72","CAD","CAD"
"73","CAD","ESR1"
"74","CAD","SMARCA4"
"75","DTYMK","TK1"
"76","DUT","TK1"
"77","ASL","ADSL"
"78","GLUD2","NIT2"
"79","GLUD2","GLUL"
"80","GLS2","GLUL"
"81","FOLH1","ASPA"
"82","BHMT","DMGDH"
"83","PSPH","SHMT1"
"84","SHMT1","AGXT2"
"85","SHMT1","SDS"
"86","SHMT1","AGXT"
"87","AGXT2","ABAT"
"88","ACAA2","PCCA"
"89","ACAA1","PCCA"
"90","AOC1","INMT"
"91","SRM","SMS"
"92","FTCD","AMDHD1"
"93","FTCD","MTHFD1"
"94","FTCD","MTHFD1L"
"95","AMDHD1","UROC1"
"96","ALDH6A1","ABAT"
"97","ALDH6A1","NFYC"
"98","CNDP1","CNDP1"
"99","MTR","CTH"
"100","SMS","EZH2"
"101","B4GALT3","ST3GAL3"
"102","UGDH","EGR2"
"103","UGDH","EGR3"
"104","LIPG","MGLL"
"105","MOGAT2","MGLL"
"106","PIP4K2B","TP53"
"107","PIP4K2B","ATF5"
"108","PIP4K2B","TCF3"
"109","LPCAT1","PLAAT3"
"110","PCYT1A","MAPK10"
"111","PCYT1A","MAPK1"
"112","PCYT1A","MAPK3"
"113","PCYT1A","ATF5"
"114","PCYT1A","ZNF143"
"115","PCYT1A","CHKA"
"116","PEMT","PEMT"
"117","EPHX2","CYP2B6"
"118","LTA4H","CYP4F3"
"119","CYP2C8","CYP26A1"
"120","CYP2C9","CYP26A1"
"121","HAO2","CAT"
"122","HAO2","PGP"
"123","HAO1","PGP"
"124","CAT","NFYC"
"125","MMUT","SUCLG2"
"126","NAMPT","CLOCK"
"127","NAMPT","NNMT"
"128","SIRT7","NNMT"
"129","GCH1","E2F5"
"130","GCH1","NFYC"
"131","PTS","PTS"
"132","GPHN","GPHN"
"133","RETSAT","CYP26A1"
"134","RETSAT","HSD17B6"
"135","CYP26A1","CYP2B6"
"136","FDPS","FDPS"
"137","GSTA1","NFE2L2"
"138","GMPS","TPMT"
"139","IMPDH2","TCF3"
"140","IMPDH2","TPMT"
"141","MTOR","PRKCA"
"142","MTOR","PRKCB"
"143","MTOR","PRKCG"
"144","MTOR","IGF1"
"145","MTOR","PIK3CA"
"146","MTOR","PIK3CB"
"147","MTOR","PIK3CD"
"148","MTOR","PIK3R1"
"149","MTOR","PIK3R2"
"150","MTOR","PIK3R3"
"151","MTOR","RRAGD"
"152","MTOR","RRAGC"
"153","MTOR","PRKAA2"
"154","MTOR","RPS6KB1"
"155","MTOR","PRKAB1"
"156","MTOR","PRKAB2"
"157","MTOR","PRKAG1"
"158","MTOR","EIF4EBP1"
"159","GAB1","SHC3"
"160","GAB1","SHC1"
"161","GAB1","MET"
"162","TGFA","EGFR"
"163","TGFA","TP53"
"164","TGFA","ESR1"
"165","SOS1","SHC3"
