"","C-1","C-2","C-3","C-4","C-5","C-6","C-7","C-8","C-9","C-10","C-11","C-12","C-13"
"AACS",6.121831498,6.370313702,6.133659295,6.6293345,6.440776247,6.100134719,6.053148258,6.23865048,5.946120882,6.534317352,6.571701927,6.030166076,6.264619597
"AADAC",11.70940783,11.98626396,12.28832837,11.44609261,11.78861852,12.08510184,11.19684561,11.71585916,12.09790659,11.81332486,12.02595694,11.07706695,11.733921
"AADAT",10.34351871,9.935478937,10.33228803,7.977846479,10.08653318,10.35989338,10.27329989,10.54498964,10.29711945,10.15204325,11.09614543,9.567505037,10.22240262
"AARS2",7.758999922,7.599662952,7.642557014,7.663124823,7.940918693,7.811227391,8.073534916,7.971143722,8.215829481,7.735832233,7.927597396,8.307445502,7.831551961
"AATF",7.614535881,7.854313718,8.064314554,8.311766759,7.97981732,7.734246852,8.457742437,8.145353519,8.374236093,7.938276123,7.751553019,7.841992438,8.097959697
"ABAT",8.987691888,8.511343138,8.80742561,7.236608625,8.956562697,8.87034861,8.714248854,8.491806919,8.458192448,8.837838996,8.946114688,8.073534916,8.708703791
"ABCB4",9.527364905,10.33998736,10.07870393,9.176854139,9.740287616,10.41931077,9.267055048,10.64506245,10.05344095,9.862304843,10.33714272,10.3934097,10.64506245
"ABCC5",7.566729646,7.314137184,7.435280387,7.219969085,6.843365163,7.719250359,7.981296758,7.925780896,6.424621239,7.647947767,7.121194495,8.822560572,7.425183362
"ABCF1",10.24923615,10.30324346,10.4582021,10.74359336,10.09825926,10.18806151,10.45626757,10.49424346,10.78783991,10.71882651,10.23474991,10.52507956,10.47909061
"ABCF2",6.617303771,6.055937484,6.694290668,7.31542185,5.619765589,6.593115331,6.389131854,6.111156748,7.209408195,6.565650991,6.339957775,6.396461692,6.517854437
"ABHD2",7.183169498,7.575009026,7.402235722,7.067102194,6.94291473,7.077564342,6.614438915,7.253376151,6.927904496,7.603282167,7.336852529,6.630704942,7.280934379
"ABL2",4.706704181,5.077621097,5.189477101,5.69042825,4.682608652,4.745658174,5.063282509,5.055948556,5.065284433,5.431361054,5.088698282,4.838795287,5.037537595
"ACAA1",11.73987464,12.59979509,12.51828912,10.50005159,10.94241912,11.2844856,11.31563832,11.83528934,12.15477543,11.68258783,12.23829541,11.81683117,12.54206067
