"","from","to"
"1","TKT","TALDO1"
"2","ACADS","ECHS1"
"3","EHHADH","ACAT1"
"4","ALDH2","ADH1A"
"5","ALDH1B1","ADH1A"
"6","UGT2B15","ADH1A"
"7","ATIC","ATIC"
"8","PAPSS2","PAPSS2"
"9","CYP1A2","NAT2"
"10","NAT2","CYP2A6"
"11","NAT2","CYP2A7"
"12","CAD","CAD"
"13","ASS1","ASL"
"14","PSPH","SHMT1"
"15","SHMT1","AGXT2"
"16","ACAA2","PCCA"
"17","ACAA1","PCCA"
"18","ALDH2","AOC1"
"19","ALDH1B1","AOC1"
"20","SHMT1","FTCD"
"21","FTCD","AMDHD1"
"22","CNDP1","CNDP1"
"23","SRM","SMS"
"24","UGP2","UGDH"
"25","UGT2B15","UGDH"
"26","PEMT","PEMT"
"27","CYP1A2","CYP2C8"
"28","CYP1A2","CYP2C9"
"29","HAO2","CAT"
"30","FTCD","MTHFD1L"
"31","PTS","PTS"
"32","GPHN","GPHN"
"33","ADH1A","CYP26A1"
"34","CYP1A2","CYP26A1"
"35","CYP2A7","CYP26A1"
"36","CYP2C8","CYP26A1"
"37","RETSAT","CYP26A1"
"38","FDPS","FDPS"
"39","ADH1A","GSTA1"
"40","ADH1A","GSTP1"
"41","ADH1A","MGST1"
"42","ADH1A","GSTO1"
"43","GAB1","SHC3"
"44","SOS1","SHC3"
"45","GRB2","SHC3"
"46","GAB1","SHC1"
"47","MTOR","PRKCA"
"48","MTOR","PRKCB"
"49","MTOR","PRKCG"
"50","PRKCG","ARAF"
"51","MAP2K1","ARAF"
"52","MAP2K1","HRAS"
"53","ARAF","HRAS"
"54","ARAF","KRAS"
"55","MAP2K1","NRAS"
"56","ARAF","NRAS"
"57","MTOR","IGF1"
"58","SHC2","EGFR"
"59","MAP2K1","EGFR"
"60","HGF","EGFR"
"61","IGF1","EGFR"
"62","PDGFD","EGFR"
"63","MTOR","PIK3CA"
"64","RAF1","PIK3CA"
"65","MTOR","PIK3CB"
"66","RAF1","PIK3CB"
"67","HRAS","PIK3CB"
"68","MTOR","PIK3CD"
"69","RAF1","PIK3CD"
"70","HRAS","PIK3CD"
"71","MTOR","PIK3R1"
"72","MTOR","PIK3R2"
"73","RAF1","PIK3R2"
"74","MTOR","PIK3R3"
"75","HRAS","PIK3R3"
"76","PCYT1A","MAPK10"
"77","TP53","TP53"
