"","gene1","gene2","weight"
"1","AATF","BAX","0.745352740226152"
"2","AATF","LDOC1","-0.299397699113911"
"3","AATF","POLR2J","0.113795444676187"
"4","ABL2","BTF3","0.546123926421261"
"6","AOC1","INMT","-0.0298506389637709"
"7","ACAA1","PCCA","0.286308176799874"
"8","ACAA2","PCCA","0.61117039157809"
"9","ACAT1","AACS","-0.619586784303122"
"10","ACAT1","HMGCS2","0.821979854165435"
"11","ACAT1","MYC","0.0868434813264835"
"12","ACTB","AHNAK","0.135767889286295"
"13","ACTB","ARHGAP10","-0.320608898517598"
"14","ACTB","CTNNA1","0.0982254337665196"
"15","ACTB","EGR1","-0.479747539886798"
"16","ACTB","EGR3","0.134274573505805"
"17","ACTB","ACTR3C","0.328584198528498"
"18","ACTB","ITGA2","0.371472235625956"
"19","ACTB","ITGA6","0.550179240627498"
"20","ACTB","ITGA9","-0.318945123075088"
"21","ACTB","ITGB8","-0.14110858708102"
"22","ACTB","MYO1B","-0.0580862374559426"
"23","ACTB","MYO5A","-0.0193538782407737"
"24","ACTB","NFYC","-0.0438688259269891"
"25","ACTB","SMARCA4","0.481067182633419"
"26","ACTB","SMARCB1","0.172081583648044"
"27","ACTB","STK3","0.429388508071456"
"28","ACTB","WAS","-0.389869109454335"
"29","ACTB","WASF1","-0.10924179084928"
"30","ACTB","WASF2","0.145852747212333"
"31","ACTG1","CTNNA1","0.281840224136632"
"32","ACTG1","EGR1","0.204890051075486"
"33","ACTG1","NR3C2","-0.429365776697976"
"34","ACTG1","STK3","0.331803212273322"
"35","ACTL6A","TRRAP","0.224486884048811"
"36","ACTL6B","EGR1","0.366124638111263"
"37","ACTL6B","EGR3","-0.264298707028789"
"38","ACTL6B","NFYC","-0.411839820518051"
"39","ADH1A","CYP26A1","0.403437156127332"
"40","ADH1A","GSTA1","0.510150291340836"
"41","ADH1A","GSTA2","0.569618915719186"
"42","ADH1A","GSTA3","0.370127883233331"
"43","ADH1A","GSTA4","-0.45041089085117"
"44","ADH1A","GSTA5","0.459198031690188"
"45","ADH1A","GSTM1","0.0489745318051468"
"46","ADH1A","GSTM2","0.151254932035895"
"47","ADH1A","GSTM3","0.114848466787569"
"48","ADH1A","GSTM4","0.358808321845843"
"49","ADH1A","GSTM5","-0.0734895423333747"
"50","ADH1A","GSTO1","0.529242233235097"
"51","ADH1A","GSTO2","-0.327807361054085"
"52","ADH1A","GSTP1","-0.0572129624449271"
"53","ADH1A","GSTT2","-0.0985135985368693"
"54","ADH1A","GSTT2B","-0.0985135985368693"
"55","ADH1A","MGST1","0.201776733735168"
"56","ADH1A","MGST2","0.484651033137003"
"57","ADH1A","MGST3","-0.0882537290640892"
"59","AGTR1","SND1","-0.343017430632272"
"60","AGTR1","ETV4","0.196736466435558"
"61","AGTR1","SERPINE1","0.36352436347171"
"62","AGXT2","ABAT","0.481717844047191"
"63","AIRE","AIRE","1"
"64","AKT1","APC","-0.546477554447352"
"65","AKT1","BAD","0.46789555271395"
"66","AKT1","BRCA1","0.127509529476629"
"67","AKT1","CDKN1A","0.471593193236634"
"68","AKT1","EGR1","-0.38024625545551"
"69","AKT1","ESR1","0.344718385504145"
"70","AKT1","GSK3B","0.772071206472328"
"71","AKT1","YBX1","-0.00912417013676036"
"72","AKT1","RPS6KB1","0.143862869266253"
"73","AKT1","SMAD2","0.0673777336799823"
"74","AKT1","TP53","-0.0767054131306356"
"75","AKT1","TSC1","0.51517070408108"
"76","AKT2","RPS6KB1","-0.0763162667343937"
"77","AKT3","BAD","0.0890967811647971"
"78","AKT3","C6","0.388667873433412"
"79","AKT3","C7","-0.147463962062369"
"80","AKT3","C8A","0.223103469556403"
"81","AKT3","C8B","0.299952509375145"
"82","AKT3","C9","0.0160830130559031"
"83","AKT3","CDKN1A","0.10685179942417"
"84","AKT3","GSK3B","0.434685840807909"
"85","AKT3","PPP2R5A","0.431757095083682"
"86","AKT3","HSP90AA1","-0.095900020522686"
"87","AKT3","HSP90AB1","-0.276699013902725"
"88","AKT3","PDPK1","0.385552073588587"
"89","AKT3","PIK3CA","-0.137999730528247"
"90","AKT3","PIK3CB","0.116102763195282"
"91","AKT3","PIK3CD","-0.0290580851896241"
"92","AKT3","PIK3R1","0.300646923050119"
"93","AKT3","PIK3R3","0.10968214879584"
"94","AKT3","PPP2R1A","-0.153639501084181"
"95","AKT3","PTK2","-0.424969656268828"
"96","AKT3","RHOB","-0.189205326787093"
"97","AKT3","THEM4","-0.0472492116583696"
"98","AKT3","TSC1","0.4801295802114"
"99","AKT3","TSC2","0.265510681265389"
"100","ALDH1B1","AOC1","-0.0276192268843908"
"101","ALDH1B1","ACYP1","-0.442049379439725"
"102","ALDH1B1","ADH1A","0.483374119319404"
"103","ALDH2","AOC1","0.169795317378441"
"104","ALDH2","ACYP1","-0.227707442211601"
"105","ALDH2","ADH1A","0.598914403779761"
"106","ALDH2","ADH1B","0.67144544824274"
"107","ALDH2","ADH1C","0.164636594794785"
"108","ALDH2","ADH4","0.611763204754073"
"109","ALDH2","AKR1B10","0.327558719940839"
"110","ALDH2","BBOX1","0.372227572424919"
"111","ALDH6A1","ABAT","0.685180147342413"
"112","ALDH6A1","NFYC","-0.0106206848964467"
"113","ALDOB","FBP1","0.674649675691111"
"115","ALPL","EGR1","-0.398685337888933"
"116","AMDHD1","E2F2","-0.0218643704587999"
"117","AMDHD1","MYC","0.0219004726302046"
"118","AMDHD1","UROC1","0.485492554293996"
