"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"gene","NFYA","E2F2","BRCA1","ARID1B","TCF3","PTGS2","ACTL6B","SMARCA2","MET","GAB1","ATF2","PLCG1","FOSB","ELK1","SMARCA4","E2F5","MYC","TPMT","ANXA3","TP53","PIK3R1","SHC3","GMPS","SMAD3","CTNNB1","ATF5","FOS","GRB2","IMPDH2","FAF1","ARID2","MZT1","E2F4"
"TCGA-DD-A3A2-00"," 5.7838252"," 1.0986123"," 3.9512437"," 6.9716686"," 6.3350543"," 5.3132060"," 0.6931472"," 8.1037967"," 8.8408696"," 6.4150970"," 6.9565454"," 5.8916442"," 9.9460201"," 7.0299729"," 6.7878450"," 3.6888795"," 8.0192838"," 8.1878554"," 4.1108739"," 7.0175061"," 7.9280456"," 2.8332133"," 6.8585650"," 7.3517999"," 8.8397114"," 9.8141644","11.2907689"," 8.1847927"," 7.7731737"," 7.2034055"," 5.9788858"," 5.4205350"," 6.7833252"
"TCGA-DD-A39Z-00"," 5.877736"," 2.639057"," 4.007333"," 6.854355"," 6.018593"," 4.442651"," 0.000000"," 7.808729"," 8.133587"," 5.843544"," 6.922644"," 6.066108"," 8.014005"," 6.618739"," 6.997596"," 3.806662"," 6.916715"," 8.105609"," 4.753590"," 6.815640"," 8.151333"," 2.079442"," 6.740519"," 6.965080"," 8.488588","11.019547","10.554275"," 8.002360"," 7.349231"," 6.901737"," 5.823046"," 5.117994"," 6.386879"
"TCGA-FV-A3I0-00"," 6.047372"," 1.386294"," 3.688879"," 6.860664"," 6.282267"," 4.043051"," 1.098612"," 8.059276"," 8.328451"," 5.384495"," 6.867974"," 5.739793"," 8.265136"," 6.675823"," 7.096721"," 4.094345"," 8.412943"," 7.990238"," 4.969813"," 6.643790"," 8.125039"," 1.609438"," 6.812345"," 7.421776"," 8.877103","10.966179"," 9.571366"," 8.016978"," 7.329094"," 7.020191"," 5.648974"," 4.094345"," 6.487684"
"TCGA-DD-A39X-00"," 5.8833224"," 2.3025851"," 4.3694479"," 7.1869010"," 6.4504704"," 3.8501476"," 0.6931472"," 8.3375879"," 8.8520928"," 6.2402758"," 7.1800699"," 6.1484683"," 8.6192081"," 7.3721180"," 6.8221974"," 3.6109179"," 8.3167891"," 8.4274873"," 4.2341065"," 7.1831117"," 8.4902330"," 2.6390573"," 6.9334230"," 7.4265491"," 8.9432449","10.5710092","10.2239756"," 8.2807111"," 8.0595923"," 7.2703129"," 5.9763509"," 5.4161004"," 6.6682282"
"TCGA-BC-A10U-00"," 6.282267"," 2.397895"," 4.844187"," 7.145984"," 6.390241"," 6.285998"," 1.386294"," 8.173857"," 8.703507"," 6.159095"," 7.229839"," 6.115892"," 8.639588"," 6.680855"," 7.455298"," 4.454347"," 8.655737"," 8.146999"," 6.184149"," 6.825460"," 7.978654"," 2.079442"," 6.964136"," 7.755339"," 9.185023","10.456424"," 9.858542"," 8.084871"," 7.375256"," 7.000334"," 6.049733"," 4.804021"," 6.507278"
"TCGA-DD-A114-00","6.400257","4.532599","6.006353","7.455298","6.767343","5.587249","1.098612","8.489205","8.401109","6.633318","7.469084","7.218910","9.203517","7.121252","7.706163","4.382027","8.009031","8.326275","4.927254","7.498870","9.064042","3.433987","7.194437","7.409742","9.283312","9.990628","9.270683","8.637994","7.572503","7.259116","6.496775","5.455321","6.916715"
"TCGA-BC-A10Q-00"," 6.0753460"," 0.6931472"," 5.8141305"," 6.8297937"," 6.1862086"," 3.5553481"," 0.6931472"," 7.9455554"," 8.3397398"," 5.7333413"," 6.8885725"," 6.2085900"," 7.7807209"," 6.7369670"," 7.1082441"," 3.5835189"," 8.0876403"," 8.1817205"," 4.4543473"," 6.7878450"," 8.6448826"," 2.9957323"," 6.9697907"," 7.0228681"," 8.8420265","10.3432575"," 8.6956740"," 7.8781553"," 7.3427792"," 6.9957662"," 5.6629605"," 4.5643482"," 6.3868793"
"TCGA-DD-A1EL-00"," 6.428105"," 3.135494"," 6.131226"," 7.556951"," 6.794587"," 5.003946"," 1.609438"," 8.648397"," 8.434246"," 6.582025"," 7.429521"," 7.172425"," 7.630947"," 7.488294"," 7.577122"," 4.510860"," 8.860925"," 8.705000"," 5.342334"," 6.981935"," 9.464207"," 4.234107"," 7.266827"," 7.410347"," 9.278373","10.202851"," 8.753687"," 8.581669"," 7.751475"," 7.289611"," 6.552508"," 5.707110"," 6.977281"
"TCGA-BC-A10W-00"," 5.9687076"," 2.0794415"," 5.5373343"," 7.1284959"," 6.4150970"," 4.9416424"," 0.6931472"," 7.8853292"," 8.0255164"," 5.6347896"," 6.9047508"," 6.0890449"," 8.7220913"," 6.6945621"," 7.4054957"," 3.8286414"," 8.8487965"," 8.3705476"," 5.0172798"," 6.7638849"," 8.0614869"," 1.7917595"," 6.9295168"," 7.1115121"," 8.6480460","10.5070109"," 8.5784764"," 8.2214789"," 7.4552985"," 6.9754139"," 5.6594822"," 5.2094862"," 6.4101749"
