"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33"
"gene","MARCO","TARBP1","ASPM","PABPC1","HMMR","TUBE1","CLEC4M","CAP2","DNAJC6","CFP","ANGPTL6","LYVE1","STAB2","OIT3","CYP1A2","FCN3","PPOX","ECM1","NVL","CRHBP","TIMD4","RSPO3","CLTRN","NAT2","FCN2","DIRAS3","GMPS","DNASE1L3","CLEC1B","MFSD2A","ITLN1","CLEC4G","COLEC10"
"TCGA-DD-A3A2-00"," 8.4307635"," 5.3327188"," 3.7135721"," 9.8003468"," 2.8332133"," 7.4018416"," 7.5384950"," 5.0562458"," 2.7080502"," 4.6249728"," 6.6120410"," 7.5632006"," 7.0749632"," 8.2967959","10.3080189"," 8.9239907"," 5.8493248"," 7.8758792"," 5.4680601"," 8.2453845"," 6.0567840"," 5.3981627"," 5.8230459"," 7.7079615"," 7.8244459"," 6.1463293"," 6.8585650"," 8.7837027"," 6.4232470"," 7.5725030"," 4.6821312"," 0.6931472"," 7.7262127"
"TCGA-DD-A39Z-00"," 5.863631"," 5.641907"," 4.595120"," 9.620859"," 4.382027"," 6.839476"," 5.181784"," 5.347108"," 2.708050"," 2.484907"," 5.717028"," 4.779123"," 5.204007"," 6.575076","10.481420"," 6.618739"," 5.537334"," 7.041412"," 5.010635"," 5.805135"," 3.526361"," 4.820282"," 5.389072"," 7.672758"," 5.888878"," 5.598422"," 6.740519"," 6.635947"," 3.496508"," 9.340842"," 2.564949"," 0.000000"," 6.777647"
"TCGA-FV-A3I0-00"," 6.9985096"," 5.3033049"," 2.1972246"," 9.5134774"," 2.3025851"," 7.0774981"," 6.2106001"," 4.6347290"," 3.4011974"," 3.4965076"," 6.7202202"," 6.6133842"," 5.5373343"," 7.6108528","10.5372562"," 8.4957652"," 5.3752784"," 7.4576093"," 5.0498560"," 7.0875737"," 3.9120230"," 4.8903491"," 5.8971539"," 7.2225660"," 6.9612960"," 6.1903154"," 6.8123451"," 7.5522373"," 5.1298987"," 8.9782822"," 2.8903718"," 0.6931472"," 6.8394764"
"TCGA-DD-A39X-00"," 8.465900"," 5.529429"," 3.258097"," 9.766464"," 2.833213"," 6.759255"," 6.949856"," 5.564520"," 2.397895"," 4.234107"," 6.656727"," 7.183112"," 6.369901"," 8.173293","11.148650"," 9.046880"," 5.863631"," 7.874739"," 5.332719"," 8.227376"," 5.575949"," 5.780744"," 5.953243"," 7.589842"," 7.861727"," 6.146329"," 6.933423"," 8.466531"," 6.608001"," 8.239857"," 5.036953"," 0.000000"," 7.545390"
"TCGA-BC-A10U-00","7.916078","5.564520","2.944439","9.561138","2.708050","7.105786","6.746412","4.779123","4.477337","3.828641","6.919684","7.312553","6.421622","7.988882","9.105313","8.603004","5.463832","8.123558","5.081404","7.912423","4.442651","5.135798","6.489205","7.258412","7.326466","4.770685","6.964136","7.942007","5.525453","8.227643","4.143135","0.000000","7.723562"
"TCGA-DD-A114-00","8.866158","6.590301","6.109248","9.902587","5.087596","7.585789","7.251345","6.369901","4.158883","4.691348","6.192362","6.577861","7.047517","8.338306","9.101641","8.978408","5.926926","7.831220","5.624018","8.622094","6.159095","5.411646","6.885510","7.187657","8.065265","5.991465","7.194437","8.549854","6.313548","9.758866","5.996452","1.098612","7.602900"
"TCGA-BC-A10Q-00"," 6.666957"," 5.743003"," 4.234107"," 9.626943"," 3.526361"," 7.202661"," 6.458338"," 4.718499"," 3.178054"," 3.218876"," 6.624065"," 6.917706"," 6.416732"," 8.026824","10.191145"," 8.852665"," 5.572154"," 7.958926"," 5.170484"," 8.129470"," 3.135494"," 5.746203"," 6.349139"," 6.814543"," 7.790696"," 5.023881"," 6.969791"," 8.257904"," 6.352629"," 8.886962"," 3.970292"," 0.000000"," 7.614312"
"TCGA-DD-A1EL-00"," 8.615408"," 6.587550"," 4.897840","10.036925"," 4.330733"," 8.009363"," 6.630683"," 6.322565"," 4.060443"," 5.192957"," 6.857514"," 7.735433"," 7.363280"," 8.494743","10.509742"," 9.491149"," 6.289716"," 8.168203"," 5.872118"," 9.101195"," 6.008813"," 6.142037"," 7.607381"," 7.992607"," 8.388450"," 5.894403"," 7.266827"," 8.866441"," 7.013915"," 8.674197"," 5.602119"," 0.000000"," 8.140607"
"TCGA-BC-A10W-00"," 8.0452677"," 5.7714411"," 3.8712010"," 9.6223176"," 2.9444390"," 7.0396603"," 7.1662660"," 5.1590553"," 3.4965076"," 4.6249728"," 6.2709884"," 7.3395377"," 6.7286286"," 8.5117786","10.5665105"," 8.9553191"," 5.7960578"," 7.5202346"," 4.9972123"," 8.2120258"," 4.7004804"," 5.3375381"," 6.7105231"," 7.7869670"," 7.6563372"," 4.8978398"," 6.9295168"," 8.4701016"," 5.9814142"," 9.2945896"," 4.7706846"," 0.6931472"," 7.3492308"
