"","from","to"
"1","TKT","TALDO1"
"2","UGP2","GALE"
"3","ACADS","EHHADH"
"4","ACADS","ECHS1"
"5","EHHADH","ECHS1"
"6","EHHADH","ACAT1"
"7","ALDH2","ADH1A"
"8","ALDH1B1","ADH1A"
"9","UGT2B15","ADH1A"
"10","ALDH2","ADH1C"
"11","ASS1","ADSS1"
"12","ATIC","ADSS1"
"13","CYP1A2","NAT2"
"14","NAT2","CYP2A6"
"15","NAT2","CYP2A7"
"16","ADSS1","CAD"
"17","DTYMK","TYMS"
"18","ASS1","ASL"
"19","PSPH","SHMT1"
"20","SHMT1","AGXT2"
"21","ACAA2","PCCA"
"22","ACAA1","PCCA"
"23","ALDH2","BBOX1"
"24","ALDH2","AOC1"
"25","ALDH1B1","AOC1"
"26","ATIC","FTCD"
"27","SHMT1","FTCD"
"28","FTCD","AMDHD1"
"29","PCCA","ALDH6A1"
"30","SRM","SMS"
"31","UGP2","UGDH"
"32","UGT2B15","UGDH"
"33","UGDH","UXS1"
"34","ALDH2","AKR1B10"
"35","LCAT","PEMT"
"36","CYP1A2","CYP2C19"
"37","CYP1A2","CYP2C8"
"38","CYP1A2","CYP2C9"
"39","CYP2A6","CYP2C9"
"40","HAO2","CAT"
"41","SHMT1","MTHFD1"
"42","FTCD","MTHFD1"
"43","FTCD","MTHFD1L"
"44","GCH1","PTS"
"45","ALPL","PTS"
"46","ADH1A","CYP26A1"
"47","CYP1A2","CYP26A1"
"48","CYP2A6","CYP26A1"
"49","CYP2A7","CYP26A1"
"50","CYP2C8","CYP26A1"
"51","CYP2C9","CYP26A1"
"52","RETSAT","CYP26A1"
"53","CYP2A6","CYP2B6"
"54","EPHX2","CYP2B6"
"55","CYP26A1","CYP2B6"
"56","RETSAT","HSD17B6"
"57","FDPS","GGPS1"
"58","ADH1A","GSTA5"
"59","ADH1A","GSTA1"
"60","ADH1A","GSTA2"
"61","ADH1A","GSTA4"
"62","ADH1A","GSTM2"
"63","ADH1A","GSTM4"
"64","ADH1A","GSTP1"
"65","ADH1A","GSTT2"
"66","ADH1A","MGST1"
"67","ADH1A","MGST3"
"68","ADH1A","GSTT2B"
"69","ADH1A","GSTO1"
"70","GAB1","SOS1"
"71","GAB1","GRB2"
"72","SOS1","GRB2"
"73","SOS2","GRB2"
"74","GAB1","SHC2"
"75","SOS1","SHC2"
"76","GRB2","SHC2"
"77","GAB1","SHC4"
"78","SOS1","SHC4"
"79","GRB2","SHC4"
"80","GAB1","SHC3"
"81","SOS1","SHC3"
"82","GRB2","SHC3"
"83","GAB1","SHC1"
"84","SOS1","SHC1"
"85","GRB2","SHC1"
"86","MTOR","PRKCA"
"87","MTOR","PRKCB"
"88","MTOR","PRKCG"
"89","MTOR","AKT3"
"90","MTOR","AKT1"
"91","MTOR","AKT2"
"92","GRB2","MAP2K1"
"93","PRKCA","ARAF"
"94","PRKCB","ARAF"
"95","PRKCG","ARAF"
"96","MAP2K1","ARAF"
"97","PRKCA","RAF1"
"98","PRKCB","RAF1"
"99","PRKCG","RAF1"
"100","MAP2K1","RAF1"
"101","MAP2K1","BRAF"
"102","FDPS","HRAS"
"103","SOS1","HRAS"
"104","SOS2","HRAS"
"105","PRKCA","HRAS"
"106","PRKCB","HRAS"
"107","PRKCG","HRAS"
"108","MAP2K1","HRAS"
"109","ARAF","HRAS"
"110","RAF1","HRAS"
"111","BRAF","HRAS"
"112","MAP2K1","KRAS"
"113","ARAF","KRAS"
"114","RAF1","KRAS"
"115","BRAF","KRAS"
"116","MAP2K1","NRAS"
"117","ARAF","NRAS"
"118","RAF1","NRAS"
"119","BRAF","NRAS"
"120","SOS1","BCL2L1"
"121","SOS2","BCL2L1"
"122","AKT3","BCL2L1"
"123","AKT1","BCL2L1"
"124","AKT2","BCL2L1"
"125","MTOR","IGF1"
"126","TGFA","EGFR"
"127","SOS1","EGFR"
"128","GRB2","EGFR"
"129","SHC2","EGFR"
"130","MAP2K1","EGFR"
"131","HRAS","EGFR"
"132","HGF","EGFR"
"133","IGF1","EGFR"
"134","PDGFD","EGFR"
"135","MTOR","PIK3CA"
"136","GAB1","PIK3CA"
"137","AKT3","PIK3CA"
"138","RAF1","PIK3CA"
"139","HRAS","PIK3CA"
"140","KRAS","PIK3CA"
"141","NRAS","PIK3CA"
"142","EGFR","PIK3CA"
"143","MTOR","PIK3CB"
"144","AKT3","PIK3CB"
"145","RAF1","PIK3CB"
"146","HRAS","PIK3CB"
"147","MTOR","PIK3CD"
"148","AKT3","PIK3CD"
"149","RAF1","PIK3CD"
"150","HRAS","PIK3CD"
"151","MTOR","PIK3R1"
"152","AKT3","PIK3R1"
"153","RAF1","PIK3R1"
"154","HRAS","PIK3R1"
"155","MTOR","PIK3R2"
"156","AKT3","PIK3R2"
"157","RAF1","PIK3R2"
"158","HRAS","PIK3R2"
"159","MTOR","PIK3R3"
