"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"gene","SEC61A2","SEL1L3","EIF3L","RPL3","KRT23","OAS2","SLC39A11","CFHR5","LRRC1","LOXL4","CREG1","JTB","FAM168B","PTPRD","STC1","SLC22A15","SENP2","HSPA4L","COL4A3","CTDSP2","NR2F1","DLEU1","NR2C2","GTPBP6","PRR14L","MAGEH1","TRIM31","NEURL1B","LINC01806","DENND11"
"TCGA-DD-A3A2-00"," 6.2690963"," 6.3750248"," 8.1279951","11.3204081"," 0.6931472"," 6.6411822"," 7.7314920"," 8.9493651"," 2.5649494"," 4.7449321"," 9.2526333"," 6.0614569"," 7.9168075"," 6.4425402"," 3.9120230"," 2.0794415"," 7.2341772"," 5.2678582"," 2.7725887"," 8.7068213"," 6.7569324"," 4.6728288"," 5.7430032"," 7.7332456"," 6.7405194"," 6.2166061"," 1.6094379"," 6.4504704"," 4.1108739"," 7.3479438"
"TCGA-DD-A39Z-00"," 5.894403"," 5.564520"," 7.134891","11.058118"," 1.386294"," 6.472346"," 7.566828"," 8.606302"," 2.564949"," 4.343805"," 9.196951"," 5.726848"," 7.188413"," 6.366470"," 3.761200"," 3.332205"," 6.771936"," 5.407172"," 3.044522"," 7.894318"," 6.354370"," 3.970292"," 5.686975"," 7.122867"," 6.196444"," 6.082219"," 3.178054"," 6.476972"," 4.510860"," 6.967909"
"TCGA-FV-A3I0-00"," 5.676754"," 5.616771"," 7.579679","10.795793"," 3.951244"," 7.183871"," 7.515345"," 8.428362"," 3.044522"," 5.225747"," 9.030496"," 5.247024"," 7.323171"," 6.066108"," 5.541264"," 3.258097"," 6.909753"," 6.632002"," 1.945910"," 7.646831"," 6.202536"," 2.833213"," 5.579730"," 7.254178"," 6.251904"," 5.710427"," 1.791759"," 4.317488"," 4.127134"," 6.455199"
"TCGA-DD-A39X-00"," 5.924256"," 6.129050"," 7.957177","11.261884"," 1.609438"," 6.432940"," 7.730614"," 9.029777"," 2.772589"," 4.418841"," 9.320718"," 6.008813"," 8.027477"," 6.704414"," 3.178054"," 2.079442"," 7.204149"," 5.153292"," 1.386294"," 8.874728"," 6.823286"," 4.204693"," 6.122493"," 7.714231"," 6.562444"," 6.666957"," 2.197225"," 6.436150"," 4.927254"," 7.484930"
"TCGA-BC-A10U-00"," 5.513429"," 6.784457"," 7.729735","10.932071"," 4.787492"," 5.902633"," 7.765569"," 8.511980"," 4.890349"," 6.880384"," 9.049232"," 6.175867"," 7.625595"," 6.625392"," 6.913737"," 3.258097"," 6.880384"," 6.541030"," 3.931826"," 7.895436"," 6.799056"," 3.295837"," 5.690359"," 7.050989"," 6.410175"," 6.280396"," 1.945910"," 5.153292"," 4.499810"," 6.492240"
"TCGA-DD-A114-00"," 5.147494"," 7.875119"," 7.701652","10.623544"," 7.635304","10.024731"," 8.356320"," 8.357728"," 5.746203"," 7.942718"," 9.712569"," 5.978886"," 7.203406"," 5.730100"," 5.587249"," 5.505332"," 7.391415"," 7.386471"," 5.398163"," 8.309677"," 6.840547"," 4.143135"," 6.569481"," 7.507690"," 6.959399"," 5.375278"," 6.329721"," 6.395262"," 4.969813"," 7.336286"
"TCGA-BC-A10Q-00"," 5.673323"," 5.891644"," 7.644919","10.817275"," 3.135494"," 6.993015"," 7.729296"," 8.251403"," 3.401197"," 4.919981"," 9.101306"," 5.690359"," 7.003974"," 6.218600"," 5.416100"," 3.583519"," 6.802395"," 5.313206"," 2.995732"," 7.577634"," 6.480045"," 3.295837"," 5.609472"," 6.969791"," 5.908083"," 6.331502"," 2.302585"," 5.638355"," 4.595120"," 6.400257"
"TCGA-DD-A1EL-00"," 5.407172"," 7.330405"," 8.171882","11.178194"," 6.569481"," 8.914492"," 8.349957"," 8.519590"," 5.141664"," 6.747587"," 9.741909"," 6.144186"," 8.119994"," 6.744059"," 4.442651"," 4.912655"," 7.444833"," 7.380879"," 5.247024"," 8.605936"," 7.459915"," 4.682131"," 6.499787"," 7.564238"," 6.756932"," 6.131226"," 6.289716"," 7.156177"," 4.828314"," 7.613819"
"TCGA-BC-A10W-00"," 4.997212"," 6.525030"," 7.266827","10.874853"," 5.883322"," 6.572283"," 7.522400"," 8.327001"," 3.912023"," 5.888878"," 9.216621"," 6.383507"," 7.124478"," 6.109248"," 5.886104"," 3.737670"," 6.865891"," 6.756932"," 3.663562"," 7.477038"," 6.617403"," 4.304065"," 5.556828"," 7.153834"," 6.184149"," 5.572154"," 4.867534"," 4.934474"," 4.615121"," 6.408529"
