"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33"
"gene","ANLN","ASPM","KCNN2","AFP","DKK1","ALDH3A1","ODAM","TTK","MEP1A","NEK2","EPCAM","TOP2A","POSTN","CCNB1","IGF2BP3","OIT3","LGR5","NUF2","GPC3","CNDP1","S100P","CLEC1B","COX7B2","REG3A","NQO1","FDCSP","CLEC4G","LIN28B","PEG10","LINC01093","LINC01419","MMP12","MYH4"
"TCGA-DD-A3A2-00","2.0794415","3.7135721","7.3092124","6.2538288","2.0794415","2.5649494","0.0000000","1.6094379","0.0000000","1.3862944","5.0814044","3.2580965","5.6131281","4.1108739","1.0986123","8.2967959","4.3438054","2.3978953","4.4543473","8.0238800","2.0794415","6.4232470","0.0000000","0.0000000","3.8286414","0.0000000","0.6931472","0.0000000","4.7621739","8.3929896","0.0000000","0.6931472","0.0000000"
"TCGA-DD-A39Z-00","3.9702919","4.5951199","5.2522734","5.3082677","1.3862944","3.2958369","0.0000000","3.5553481","0.0000000","3.3322045","4.4659081","5.0238805","3.4657359","5.0562458","0.0000000","6.5750758","3.2188758","3.2958369","5.4116461","6.2402758","3.3322045","3.4965076","0.0000000","0.6931472","5.6869754","0.0000000","0.0000000","0.0000000","3.6109179","7.6285176","0.0000000","0.0000000","2.9957323"
"TCGA-FV-A3I0-00","1.7917595","2.1972246","6.8855097","4.1588831","2.3978953","2.8332133","0.0000000","0.6931472","0.0000000","1.6094379","5.5174529","3.2580965","4.9836066","3.5835189","1.6094379","7.6108528","4.0604430","1.6094379","4.8283137","8.4437619","4.4188406","5.1298987","0.0000000","0.0000000","4.3307333","0.0000000","0.6931472","0.0000000","5.3230100","8.0583273","0.0000000","0.6931472","1.9459101"
"TCGA-DD-A39X-00","2.8332133","3.2580965","6.9994225","4.8121844","0.0000000","4.0775374","0.0000000","1.9459101","1.0986123","2.0794415","4.2046926","3.6888795","5.1474945","4.0775374","1.9459101","8.1732934","5.5909870","1.0986123","4.9199809","7.4389716","3.8712010","6.6080006","0.0000000","0.6931472","4.9698133","0.0000000","0.0000000","0.0000000","4.1743873","7.6434829","0.0000000","0.0000000","0.6931472"
"TCGA-BC-A10U-00","2.8903718","2.9444390","6.8437499","5.2574954","2.9957323","3.2958369","0.6931472","1.3862944","1.3862944","2.5649494","6.8480053","4.3694479","6.7707894","3.9512437","1.3862944","7.9888823","3.0910425","2.5649494","5.0814044","8.0446263","3.4965076","5.5254529","0.0000000","0.0000000","5.7683210","0.0000000","0.0000000","0.0000000","5.7037825","7.7106533","0.0000000","1.0986123","0.6931472"
"TCGA-DD-A114-00","5.1179938","6.1092476","4.6913479","6.3935908","4.1743873","5.4467374","0.6931472","4.3944492","2.5649494","4.3567088","7.9979993","6.3935908","5.5134287","5.6733233","1.9459101","8.3383057","4.2626799","4.1743873","8.5972974","5.5294291","2.7080502","6.3135480","0.0000000","0.0000000","6.9641356","3.0445224","1.0986123","0.0000000","8.0410910","6.2747620","0.0000000","1.9459101","9.4548539"
"TCGA-BC-A10Q-00","4.0775374","4.2341065","6.6385678","5.1179938","1.3862944","3.9889840","0.6931472","2.7725887","1.7917595","3.4965076","5.6937321","5.0875963","7.1180162","4.7791235","1.7917595","8.0268236","4.6728288","3.2958369","5.1298987","8.1749845","3.1354942","6.3526294","0.0000000","0.0000000","4.5108595","0.0000000","0.0000000","0.0000000","6.7141705","7.3112184","0.0000000","1.0986123","0.0000000"
"TCGA-DD-A1EL-00","4.2341065","4.8978398","6.8648478","6.2146081","2.1972246","4.1743873","1.9459101","3.6109179","2.5649494","3.7376696","6.4892049","5.4510385","6.1333980","4.8978398","3.2188758","8.4947431","5.2522734","3.5263605","7.1268908","7.2640301","3.2958369","7.0139155","0.0000000","0.6931472","5.3706380","0.0000000","0.0000000","0.0000000","6.0234476","7.2793188","0.0000000","0.6931472","0.6931472"
"TCGA-BC-A10W-00","3.5835189","3.8712010","5.3181200","5.2882670","2.7080502","5.8888780","1.9459101","2.3025851","2.3025851","3.3672958","5.9939614","4.4998097","6.4846352","4.2341065","1.0986123","8.5117786","4.5849675","2.5649494","5.3278762","7.2758646","2.9444390","5.9814142","0.0000000","1.3862944","4.9836066","0.0000000","0.6931472","0.0000000","4.8751973","7.6746175","0.0000000","1.6094379","0.6931472"
"TCGA-DD-A39W-00","1.0986123","3.2580965","6.8946700","4.9416424","1.6094379","3.4657359","1.0986123","1.7917595","0.6931472","1.6094379","5.1119878","2.9444390","6.1548581","4.0253517","2.3025851","8.3131167","4.6347290","1.3862944","5.0998664","9.1248914","2.9444390","6.2265367","0.0000000","0.0000000","3.8066625","0.6931472","0.6931472","0.0000000","5.9242558","8.3549095","0.0000000","0.0000000","1.3862944"
"TCGA-G3-A3CH-00","3.1780538","4.0073332","5.7071103","4.7791235","0.6931472","4.8520303","2.1972246","2.9957323","1.7917595","2.6390573","5.6489742","4.7095302","5.7776523","4.3307333","2.0794415","8.2794435","4.6443909","2.7080502","4.8520303","7.6260828","0.6931472","6.2344107","0.0000000","0.0000000","5.7268477","0.6931472","0.0000000","0.0000000","5.7557422","7.9710858","0.0000000","1.3862944","0.6931472"
"TCGA-BC-A10X-00","4.1588831","4.7184989","7.7052625","5.7137328","1.0986123","3.7841896","0.0000000","3.0910425","1.9459101","3.6109179","6.3385941","5.0369526","6.7345917","4.8121844","2.3025851","8.5861594","4.1588831","2.9957323","6.2166061","8.6308790","4.2341065","6.4551986","0.0000000","0.0000000","4.4659081","0.0000000","0.0000000","0.0000000","5.9989366","8.7137463","0.0000000","1.3862944","0.6931472"
"TCGA-DD-A3A3-00","1.7917595","1.6094379","5.6801726","4.6728288","2.7725887","1.0986123","0.0000000","2.3025851","2.1972246","1.9459101","4.2626799","3.3322045","4.8441871","3.4339872","0.0000000","8.6471683","2.0794415","1.6094379","4.9836066","6.3456364","3.4965076","5.7235851","0.0000000","0.0000000","4.2195077","0.0000000","0.0000000","0.0000000","2.5649494","7.5873105","0.0000000","0.6931472","1.0986123"
"TCGA-DD-A11A-00","3.7135721","3.4011974","5.5645204","3.8712010","1.0986123","4.3944492","0.0000000","2.5649494","2.4849066","2.0794415","5.3327188","4.6051702","7.3790081","4.2341065","1.0986123","8.8236479","5.1873858","2.7725887","4.7957905","7.3907985","3.0445224","6.7007311","0.0000000","0.0000000","2.7725887","0.0000000","0.6931472","0.0000000","4.6634391","7.6482630","0.0000000","0.6931472","1.3862944"
"TCGA-ES-A2HT-00"," 4.9052748"," 5.0172798"," 3.4339872"," 5.4971682"," 4.6249728"," 4.6443909"," 1.6094379"," 4.0604430"," 0.6931472"," 4.4067192"," 8.9366927"," 6.1882641"," 4.5951199"," 5.6869754"," 1.3862944"," 7.7471650"," 4.1271344"," 3.8501476"," 7.1693500"," 5.6937321"," 4.9904326"," 5.9480350"," 0.0000000"," 1.6094379"," 8.2369500"," 0.0000000"," 0.0000000"," 0.0000000"," 3.7612001"," 6.1654179"," 0.0000000"," 1.3862944","10.1113956"
"TCGA-DD-A116-00","4.2904594","4.7449321","6.1944054","5.5984220","1.6094379","4.6151205","0.0000000","3.4965076","0.0000000","3.3322045","6.2538288","5.3518581","5.7268477","4.6821312","2.1972246","8.0662076","4.9344739","2.7725887","5.4249500","8.0680896","3.1780538","6.1377271","0.0000000","0.6931472","4.8362819","1.0986123","1.0986123","0.0000000","4.9972123","7.6043963","0.0000000","0.6931472","2.9957323"
