"","eHCC-1","eHCC-2","eHCC-3","eHCC-4","eHCC-5","eHCC-6","eHCC-7","eHCC-8","eHCC-9","eHCC-10","eHCC-11","eHCC-12","eHCC-13","eHCC-14"
"AACS",6.07229641,6.155847409,6.541618763,5.84733846,6.661281402,6.313885986,6.629038003,6.417123629,6.815448011,5.915935356,5.928943548,6.394505525,5.991099534,6.423768355
"AADAC",11.8012701,11.77795741,11.63275899,11.66277881,11.57168199,10.47027852,11.90212914,11.54186229,11.96658374,11.91537009,11.57875916,11.53977989,12.04036229,10.88871118
"AADAT",9.630010079,9.148255925,8.935841403,8.624471478,9.616632873,9.91752541,6.954381264,9.180548503,7.656963915,8.72534423,8.458590754,7.54436353,8.807890282,6.903947892
"AARS2",8.506747847,7.580158906,8.246896031,7.674022991,7.918583368,7.696267425,7.931025901,7.896792774,7.657632871,7.52274867,7.720339676,7.603631002,7.686966918,7.612631278
"AATF",8.659705058,8.321129371,8.510833024,8.471196205,8.260286193,8.48743964,8.72993687,8.540969252,8.234597327,8.63508287,8.354081518,8.232955198,8.362224501,8.34545371
"ABAT",8.453617665,8.441535613,8.663244918,9.034848755,8.761747341,7.767196142,8.856921355,8.516483978,8.120710801,8.867821796,8.637867916,7.643250028,8.970571743,7.964573689
"ABCB4",11.95738033,10.09825926,11.43549769,11.31041638,11.30557661,11.55684142,11.55501213,11.60354342,10.79635458,11.2240561,10.88247902,10.18723796,9.975596942,10.50927919
"ABCC5",7.703960088,7.419134607,7.455270273,7.19216852,7.921961477,9.105340343,7.312359087,7.939825696,8.081918317,7.419882902,8.073534916,8.782662674,7.524738827,8.695893597
"ABCF1",10.2766219,10.22399361,10.09277391,10.40007606,10.39431123,10.33435029,10.43558983,10.29614202,10.40007606,10.60202294,10.44858643,10.34608255,10.32032903,10.54697577
"ABCF2",8.000277718,7.079192879,7.192846397,7.221683039,6.89996897,6.650766821,7.839471235,7.339248405,7.159514794,6.9425933,6.968673369,6.877015834,6.697168465,7.046949073
"ABHD2",7.712391906,7.215039396,7.53789952,7.471846623,6.694290668,7.279924509,7.470106356,7.794849654,7.054679314,7.437712025,7.736962072,6.943640091,6.96551605,6.819238012
"ABL2",4.891332771,5.303892809,5.222994043,4.886169033,5.138696131,5.335760754,4.811121788,4.877074253,4.755845823,4.955314168,5.127996432,5.078509908,5.151315882,5.146246005
"ACAA1",11.86105046,11.88323767,11.72779121,11.22547149,12.28216142,12.14745612,11.9641295,11.94635775,11.07579462,11.5919422,11.49902488,10.36862642,12.33308286,10.61923232
"ACAA2",10.94241912,10.568447,11.16060921,11.2283822,10.02738098,10.25026158,10.62171264,11.42982716,10.25676206,11.08112973,10.16641352,10.15885081,11.5751465,9.861628059
"ACACA",8.243261861,8.133230027,8.645120002,8.170113488,8.750009473,8.354977123,8.46590915,7.512487094,7.978632273,8.502293219,9.133963597,8.84670487,9.005610871,8.039861473
"ACACB",10.43743675,10.12646108,10.18806151,10.07288129,11.19241826,11.5751465,10.52507956,10.92636592,9.83995168,9.851211755,10.98115787,10.28646337,10.87060241,10.9108849
"ACADM",11.69391966,11.59962878,11.67278258,11.77591712,11.83139903,11.7178311,11.45897433,11.44081333,11.26020386,11.28136424,11.60912306,10.79504013,11.98392076,10.825995
"ACAT1",12.29896498,13.18040021,13.38967376,13.18503779,12.87882934,12.8611496,13.11468206,12.7762766,12.74909955,13.24494061,12.66068263,12.759031,13.79780687,12.10484123
"ACD",6.207880275,6.599951827,6.497102564,6.548641443,6.32186519,6.488825019,6.941950321,6.099896588,6.435242569,6.589515252,5.877195427,6.807632787,6.282548202,6.27739531
"ACLY",9.78188802,9.347454914,9.630010079,9.692353358,9.400059546,9.245245704,9.801602704,9.401251402,9.261061557,8.945029351,9.497239616,10.07060806,9.728331446,10.05505958
