"","gene1","gene2","weight"
"1","NFYA","ACSM3","-0.411450661245079"
"2","NFYA","GGCT","0.382276947378454"
"3","NFYA","GTF2IRD1","0.083845591642388"
"4","NFYA","METTL13","0.84691607655597"
"5","NFYA","PTBP1","0.915001437101877"
"6","NFYA","SYT13","-0.378678269908915"
"7","NFYA","PHF20","0.840342642181607"
"8","NFYA","FAS","-0.063429492921432"
"9","NFYA","DEPDC1B","0.970045683889105"
"10","NFYA","ARID4B","0.983159015097058"
"11","NFYA","CS","0.829726165023887"
"12","NFYA","RNF4","-0.350270347068023"
"13","NFYA","RFXANK","0.607818097821066"
"14","NFYA","YBX1","-0.0289612240354032"
"15","NFYA","NFYC","0.550394214542075"
"16","NFYA","VPS35","0.858263260870287"
"17","NFYA","NUP37","0.849098934592034"
"18","NFYA","UNG","0.713171437662641"
"19","NFYA","SNRPA","0.768596571540292"
"20","NFYA","C5orf22","0.914250333288695"
"21","NFYA","XPO1","0.982597659482945"
"22","NFYA","STARD7","0.868048058647665"
"23","NFYA","AGBL5","0.846484688795448"
"24","NFYA","AURKA","0.948032189183469"
"25","NFYA","TRMT6","0.959842215277534"
"26","NFYA","SLC7A8","-0.689884925609812"
"27","NFYA","HNRNPC","0.897219515513681"
"28","NFYA","CENPM","0.863710497484439"
"29","NFYA","MCM5","0.985920979232969"
"30","NFYA","CDKN3","0.970846428622221"
"31","NFYA","VRK1","0.949870457651698"
"32","NFYA","PABPN1","0.868513248085298"
"33","NFYA","DCAF11","0.17570066195918"
"34","NFYA","FAM83D","-0.0985458208802192"
"35","NFYA","PQBP1","0.659908180178734"
"36","NFYA","CDK16","0.669090882975986"
"37","NFYA","CENPI","0.978655083191905"
"38","NFYA","NUP93","0.279051401429653"
"39","NFYA","ACD","0.25884738866408"
"40","NFYA","CEP152","0.491132144922611"
"41","NFYA","OIP5","0.995067200368853"
"42","NFYA","ARMC1","0.200667275335227"
"43","NFYA","HNRNPL","0.937050960295747"
"44","NFYA","PRPF31","-0.00426133487128229"
"45","NFYA","ARMC6","0.106800216246052"
"46","NFYA","CASP2","0.954031618419263"
"47","NFYA","ZNF862","0.434134299832278"
"48","NFYA","DDX50","0.969176108561934"
"49","NFYA","UBE2S","0.132983581128671"
"50","NFYA","KPNB1","0.839881033940675"
"51","NFYA","PPFIBP1","0.341854579170165"
"52","NFYA","CAND1","0.896301302129297"
"53","NFYA","MRPL51","-0.0471384358609667"
"54","NFYA","GOLT1B","0.799431127885865"
"55","NFYA","MCM3","0.973203775215954"
"56","NFYA","TTK","0.960995599324915"
"57","NFYA","BRD8","0.843852258072579"
"58","NFYA","CNOT6","0.964242282634409"
"59","NFYA","DROSHA","0.944112164563689"
"60","NFYA","PPWD1","0.948391550215613"
"61","NFYA","TCERG1","0.940980907675992"
"62","NFYA","ECT2","0.991365062412983"
"63","NFYA","FOXP1","0.626191630692742"
"64","NFYA","NCL","0.986559732475077"
"65","NFYA","MSH6","0.894645358533331"
"66","NFYA","CTH","-0.323964508118809"
"67","NFYA","STMN1","0.683433397057867"
"68","NFYA","RCN2","0.884568314495494"
"69","NFYA","KIF14","0.928803887063719"
"70","NFYA","RCL1","-0.388820244211297"
"71","NFYA","NUP43","0.226170683740289"
"72","NFYA","TCP1","0.110309930693801"
"73","NFYA","PDZD11","0.18709559034874"
"74","NFYA","TMPO","0.721991046814495"
"75","NFYA","MND1","-0.306101630153254"
"76","NFYA","KIF18A","0.969294332110365"
"77","NFYA","ZCCHC17","0.155628560540749"
"78","NFYA","TRIM24","0.959349683496036"
"79","NFYA","DDX39A","0.80185545365853"
"80","NFYA","CENPK","0.965235251800358"
"81","NFYA","STIL","0.936596046476553"
"82","NFYA","FASTKD3","0.945083631991463"
"83","NFYA","TBCC","0.873376020244192"
"84","NFYA","MSTO1","0.486486424405808"
"85","NFYA","SNRPD2","0.405191509414555"
"86","NFYA","TMEM53","-0.646002081974501"
"87","NFYA","TIMM17B","0.0567756885568519"
"88","NFYA","DLGAP5","0.913998056776605"
"89","NFYA","RFPL3","-0.306101630153254"
"90","NFYA","CALU","0.715567098834982"
"91","NFYA","FAM98C","0.476227645596383"
"92","NFYA","PNPLA7","-0.372918668616414"
"93","NFYA","EIF2S3","0.92158303931974"
"94","NFYA","ACLY","0.610852542863459"
"95","NFYA","MORC2","0.931523262611602"
"96","NFYA","MKRN1","0.700225195658189"
"97","NFYA","TROAP","0.929354850560929"
"98","NFYA","GLUL","0.00953597417382962"
"99","NFYA","CKAP2","0.984269584912643"
"100","NFYA","SAP130","0.940901532656873"
"101","NFYA","TCF19","0.981800158106659"
"102","NFYA","MDC1","0.99451412788283"
"103","NFYA","PRCP","-0.400080697802276"
"104","NFYA","GGH","-0.0911543022544119"
"105","NFYA","RPLP1","0.793088655988174"
"106","NFYA","SLC3A1","-0.279704961165261"
"107","NFYA","SNRPF","0.469204458946396"
"108","NFYA","SLC46A3","-0.679535284543662"
"109","NFYA","SUOX","-0.25460450231103"
"110","NFYA","EFCAB11","0.94088222156629"
"111","NFYA","ARRDC4","-0.246698913592706"
"112","NFYA","POU2F1","0.976189879071524"
"113","NFYA","USP21","0.943404698619092"
"114","NFYA","ANP32E","0.873354712981176"
"115","NFYA","ENSA","0.585923095688603"
"116","NFYA","GOLPH3L","0.982014968334475"
"117","NFYA","DTL","0.981550345177086"
"118","NFYA","LBR","0.980975816042358"
"119","NFYA","ENOPH1","0.414956680622028"
"120","NFYA","AIG1","-0.0872547349771404"
"121","NFYA","CCT6A","0.889656182675891"
"122","NFYA","NCAPG2","0.952747295487162"
"123","NFYA","RBMX","0.977196098224425"
"124","NFYA","CETN2","0.338959110702898"
"125","NFYA","TERF1","0.473187405014171"
"126","NFYA","LRP12","-0.614109014307773"
"127","NFYA","UTP23","0.197105845756601"
"128","NFYA","LRRC4C","-0.299915131030373"
"129","NFYA","IMMP1L","0.766608786862052"
"130","NFYA","MRPL49","0.545095386692066"
